 batch,IMC_val,history_count,variance,stdv,rel_err,batch_time
121,  1.2569564E+01,3186,  9.4397163E-04,  3.0724121E-02,  2.2809722E+01,  1.1999998E-04
122,  1.2489837E+01,3217,  9.3487984E-04,  3.0575805E-02,  2.2658702E+01,  1.2800004E-04
123,  1.2467713E+01,3249,  9.2576012E-04,  3.0426306E-02,  2.2616792E+01,  6.0999999E-05
124,  1.2552470E+01,3281,  9.1811205E-04,  3.0300364E-02,  2.2777342E+01,  6.0999999E-05
125,  1.2647563E+01,3313,  9.1712040E-04,  3.0283996E-02,  2.2957470E+01,  6.2000006E-05
126,  1.2332691E+01,3346,  9.1510432E-04,  3.0250691E-02,  2.2361030E+01,  6.3000014E-05
127,  1.2517970E+01,3379,  9.0647523E-04,  3.0107727E-02,  2.2711992E+01,  7.4999873E-05
128,  1.2344506E+01,3412,  9.0350469E-04,  3.0058355E-02,  2.2383409E+01,  1.3700011E-04
129,  1.2613326E+01,3446,  8.9936031E-04,  2.9989337E-02,  2.2892618E+01,  1.4100014E-04
130,  1.2521086E+01,3480,  8.9093013E-04,  2.9848453E-02,  2.2717893E+01,  1.3599987E-04
131,  1.2454735E+01,3514,  8.8258126E-04,  2.9708269E-02,  2.2592210E+01,  1.8500001E-04
132,  1.2468065E+01,3549,  8.7396119E-04,  2.9562835E-02,  2.2617460E+01,  8.4999949E-05
133,  1.2660514E+01,3584,  8.7390839E-04,  2.9561942E-02,  2.2982004E+01,  6.7000045E-05
134,  1.2128578E+01,3619,  9.0066093E-04,  3.0011013E-02,  2.1974390E+01,  6.7999819E-05
135,  1.2528701E+01,3655,  8.9232674E-04,  2.9871839E-02,  2.2732318E+01,  6.8000052E-05
136,  1.2585209E+01,3691,  8.8635097E-04,  2.9771647E-02,  2.2839359E+01,  6.9000060E-05
137,  1.2359919E+01,3727,  8.8196977E-04,  2.9697976E-02,  2.2412605E+01,  7.0000067E-05
138,  1.2608126E+01,3764,  8.7734288E-04,  2.9619974E-02,  2.2882768E+01,  7.1000075E-05
139,  1.2456691E+01,3801,  8.6901262E-04,  2.9479020E-02,  2.2595915E+01,  7.1000075E-05
140,  1.2443646E+01,3839,  8.6085076E-04,  2.9340258E-02,  2.2571204E+01,  7.1999850E-05
141,  1.2446785E+01,3877,  8.5277923E-04,  2.9202384E-02,  2.2577150E+01,  7.2000083E-05
142,  1.2563199E+01,3915,  8.4607399E-04,  2.9087351E-02,  2.2797666E+01,  7.3999865E-05
143,  1.2330786E+01,3954,  8.4369939E-04,  2.9046504E-02,  2.2357421E+01,  8.5999956E-05
144,  1.2468815E+01,3993,  8.3551347E-04,  2.8905250E-02,  2.2618880E+01,  5.5999961E-05
145,  1.2411522E+01,4032,  8.2871687E-04,  2.8787443E-02,  2.2510354E+01,  8.6999964E-05
146,  1.2341885E+01,4072,  8.2545297E-04,  2.8730697E-02,  2.2378445E+01,  9.0999994E-05
147,  1.2534003E+01,4112,  8.1806635E-04,  2.8601859E-02,  2.2742361E+01,  9.3000010E-05
148,  1.2557982E+01,4153,  8.1134447E-04,  2.8484109E-02,  2.2787783E+01,  9.3000010E-05
149,  1.2374407E+01,4194,  8.0621440E-04,  2.8393915E-02,  2.2440050E+01,  9.4000017E-05
150,  1.2428242E+01,4235,  7.9909713E-04,  2.8268306E-02,  2.2542025E+01,  9.6000032E-05
